id,date,bedrooms,bathrooms,sqft_living,sqft_lot,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
7129300520,735519,3,1.0,1180,5650,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,221900.0
6414100192,735576,3,2.25,2570,7242,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,538000.0
5631500400,735654,2,1.0,770,10000,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062,180000.0
2487200875,735576,4,3.0,1960,5000,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,604000.0
1954400510,735647,3,2.0,1680,8080,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,510000.0
1321400060,735411,3,2.25,1715,6819,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,257500.0
2008000270,735613,3,1.5,1060,9711,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,291850.0
2414600126,735703,3,1.0,1780,7470,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,229500.0
3793500160,735669,3,2.5,1890,6560,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,323000.0
1736800520,735691,3,2.5,3560,9796,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925,662500.0
9212900260,735380,2,1.0,1160,6000,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,468000.0
114101516,735381,3,1.0,1430,19901,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,310000.0
6054650070,735513,3,1.75,1370,9680,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,400000.0
1175000570,735669,5,2.0,1810,4850,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850,530000.0
9297300055,735622,4,3.0,2950,5000,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000,650000.0
1875500060,735445,3,2.0,1890,14040,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,395000.0
6865200140,735382,4,1.0,1600,4300,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300,485000.0
16000397,735572,2,1.0,1200,9850,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,189000.0
7983200060,735712,3,1.0,1250,9774,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,230000.0
6300500875,735367,4,1.75,1620,4980,7,860,760,1947,0,98133,47.7025,-122.341,1400,4980,385000.0
7137970340,735417,5,2.5,2270,6300,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005,285000.0
8091400200,735369,2,1.5,1070,9643,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386,252700.0
3814700200,735557,3,2.25,2450,6500,8,2450,0,1985,0,98030,47.3739,-122.172,2200,6865,329000.0
1202000200,735540,3,2.0,1710,4697,6,1710,0,1941,0,98002,47.3048,-122.218,1030,4705,233000.0
1794500383,735410,3,1.75,2450,2691,8,1750,700,1915,0,98119,47.6386,-122.36,1760,3573,937000.0
3303700376,735568,3,1.0,1400,1581,8,1400,0,1909,0,98112,47.6221,-122.314,1860,3861,667000.0
5101402488,735408,3,1.75,1520,6380,7,790,730,1948,0,98115,47.695,-122.304,1520,6235,438000.0
1873100390,735659,4,2.5,2570,7173,8,2570,0,2005,0,98052,47.7073,-122.11,2630,6026,719000.0
8562750320,735547,3,2.5,2320,3980,8,2320,0,2003,0,98027,47.5391,-122.07,2580,3980,580500.0
2426039314,735568,2,1.5,1190,1265,7,1190,0,2005,0,98133,47.7274,-122.357,1390,1756,280000.0
461000390,735408,4,1.75,2330,5000,7,1510,820,1929,0,98117,47.6823,-122.368,1460,5000,687500.0
7589200193,735547,3,1.0,1090,3000,8,1090,0,1929,0,98117,47.6889,-122.375,1570,5080,535000.0
7955080270,735570,4,2.75,2060,6659,7,1280,780,1981,0,98058,47.4276,-122.157,2020,8720,322500.0
9547205180,735397,3,2.5,2300,3060,8,1510,790,1930,2002,98115,47.6827,-122.31,1590,3264,696000.0
9435300030,735381,4,1.0,1660,34848,5,930,730,1933,0,98052,47.6621,-122.132,2160,11467,550000.0
2768000400,735597,4,2.0,2360,6000,8,2360,0,1904,0,98107,47.6702,-122.362,1730,4700,640000.0
7895500070,735642,4,1.0,1220,8075,7,890,330,1969,0,98001,47.3341,-122.282,1290,7800,240000.0
2078500320,735404,4,2.5,2620,7553,8,2620,0,1996,0,98056,47.5301,-122.18,2620,11884,605000.0
5547700270,735429,4,2.5,2570,5520,9,2570,0,2000,0,98074,47.6145,-122.027,2470,5669,625000.0
7766200013,735456,4,2.25,4220,24186,8,2600,1620,1984,0,98166,47.445,-122.347,2410,30617,775000.0
7203220400,735421,5,2.75,3595,5639,9,3595,0,2014,0,98053,47.6848,-122.016,3625,5639,861990.0
9270200160,735534,3,1.0,1570,2280,7,1570,0,1922,0,98119,47.6413,-122.364,1580,2640,685000.0
1432701230,735443,3,1.0,1280,9656,6,920,360,1959,0,98058,47.4485,-122.175,1340,8808,309000.0
8035350320,735432,3,2.5,3160,13603,8,3160,0,2003,0,98019,47.7443,-121.977,3050,9232,488000.0
8945200830,735682,3,1.0,990,8528,6,990,0,1966,0,98023,47.3066,-122.371,1228,8840,210490.0
4178300310,735430,4,2.5,2290,13416,9,2290,0,1981,0,98007,47.6194,-122.151,2680,13685,785000.0
9215400105,735716,3,1.75,1250,5963,7,1250,0,1953,0,98115,47.6796,-122.301,970,5100,450000.0
5245600105,735492,3,1.0,1190,9199,7,1190,0,1955,0,98148,47.4258,-122.322,1190,9364,228000.0
7231300125,735646,5,2.5,3150,9134,8,1640,1510,1966,0,98056,47.4934,-122.189,1990,9133,345000.0
7518505990,735598,3,1.75,1410,4080,7,1000,410,1950,0,98117,47.6808,-122.384,1410,4080,600000.0
3626039271,735634,2,1.75,1980,8550,7,990,990,1981,0,98117,47.6989,-122.369,1480,6738,585000.0
4217401195,735660,5,2.25,2730,6000,8,2130,600,1927,0,98105,47.6571,-122.281,2730,6000,920000.0
9822700295,735365,4,2.5,2830,5000,9,2830,0,1995,0,98105,47.6597,-122.29,1950,5000,885000.0
9478500640,735464,4,2.5,2250,4495,7,2250,0,2008,0,98042,47.3663,-122.114,2250,4500,292500.0
2799800710,735695,3,2.5,2420,4750,8,2420,0,2003,0,98042,47.3663,-122.122,2690,4750,301000.0
7922800400,735472,5,3.25,3250,14342,8,3250,0,1968,0,98008,47.588,-122.116,2960,11044,951000.0
8079040320,735652,4,3.0,1850,9976,8,1850,0,1991,0,98059,47.5059,-122.149,2270,8542,430000.0
1516000055,735577,3,2.25,2150,21235,8,1590,560,1959,0,98166,47.4336,-122.339,2570,18900,650000.0
9558200045,735473,3,1.75,1260,8400,7,1260,0,1954,0,98148,47.4366,-122.335,1290,8750,289000.0
5072410070,735527,3,1.75,2519,8690,8,2519,0,1973,0,98166,47.4428,-122.344,2500,9500,505000.0
9528102996,735574,3,1.75,1540,1044,8,1540,0,2014,0,98115,47.6765,-122.32,1580,3090,549000.0
1189001180,735387,3,2.25,1660,6000,7,1110,550,1979,0,98122,47.6113,-122.297,1440,4080,425000.0
3253500160,735557,3,2.75,2770,3809,7,1770,1000,1925,0,98144,47.5747,-122.304,1440,4000,317625.0
3394100030,735485,4,2.5,2720,11049,10,2720,0,1989,0,98004,47.5815,-122.192,2750,11049,975000.0
3717000160,735515,4,2.5,2240,4648,7,2240,0,2005,0,98001,47.3378,-122.257,2221,4557,287000.0
1274500060,735470,3,1.0,1000,12070,7,1000,0,1968,0,98042,47.3621,-122.11,1010,12635,204000.0
1525059190,735488,5,3.25,4770,50094,11,3070,1700,1973,0,98005,47.6525,-122.16,3530,38917,1040000.0
1049000060,735603,3,2.0,1260,5612,7,1260,0,1972,0,98034,47.7362,-122.179,1640,4745,325000.0
8820901275,735394,4,2.0,2750,7807,7,2250,500,1916,0,98125,47.7168,-122.287,1510,7807,571000.0
5416510140,735424,4,2.5,2380,5000,8,2380,0,2005,0,98038,47.3608,-122.036,2420,5000,360000.0
3444100400,735673,3,1.75,1790,50529,7,1090,700,1965,0,98042,47.3511,-122.073,1940,50529,349000.0
3276920270,735542,4,4.0,3430,35102,10,2390,1040,1986,0,98075,47.5822,-121.987,3240,35020,832500.0
4036801170,735519,4,1.75,1760,7300,7,880,880,1956,0,98008,47.6034,-122.125,1680,7500,380000.0
2391600320,735708,3,1.0,1040,5060,7,1040,0,1941,0,98116,47.5636,-122.394,890,5060,480000.0
6300000287,735393,3,1.0,1410,5060,7,910,500,1956,0,98133,47.7073,-122.34,1130,5693,410000.0
1531000030,735680,4,2.5,3450,39683,10,3450,0,2002,0,98010,47.342,-122.025,3350,39750,720000.0
5104520400,735569,3,2.5,2350,5100,8,2350,0,2003,0,98038,47.3512,-122.008,2350,5363,390000.0
7437100340,735589,4,2.5,1900,5889,7,1900,0,1992,0,98038,47.349,-122.031,1870,6405,360000.0
9418400240,735534,2,1.0,2020,6720,7,1010,1010,1948,0,98118,47.5474,-122.291,1720,6720,355000.0
1523059105,735626,3,1.5,1680,8712,8,1680,0,1964,0,98059,47.4811,-122.149,1850,8797,356000.0
1133000671,735386,3,1.0,960,6634,6,960,0,1952,0,98125,47.7264,-122.31,1570,7203,315000.0
4232902595,735551,3,1.5,2140,3600,9,1900,240,1925,0,98119,47.6337,-122.365,2020,4800,940000.0
2599001200,735540,5,2.25,2660,8400,7,2660,0,1961,0,98092,47.2909,-122.189,1590,8165,305000.0
3342103156,735402,3,3.25,2770,6278,9,1980,790,2006,0,98056,47.5228,-122.199,1900,7349,461000.0
1332700270,735372,2,2.25,1610,2040,7,1610,0,1979,0,98056,47.518,-122.194,1950,2025,215000.0
3869900162,735480,2,1.75,1030,1066,7,765,265,2006,0,98136,47.5394,-122.387,1030,1106,335000.0
2791500270,735375,4,2.5,1980,7403,7,1980,0,1988,0,98023,47.2897,-122.372,1980,7510,243500.0
5036300431,735668,5,2.75,3520,6353,10,3520,0,2001,0,98199,47.6506,-122.391,2520,6250,1099880.0
4168000060,735655,3,1.0,1200,10500,7,1200,0,1962,0,98023,47.322,-122.351,1350,10500,153000.0
6021501535,735439,3,1.5,1580,5000,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500,430000.0
6021501535,735590,3,1.5,1580,5000,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500,700000.0
1483300570,735484,4,2.5,3300,10250,7,2390,910,1946,1991,98040,47.5873,-122.249,1950,6045,905000.0
3422049190,735687,3,1.75,1960,15681,7,1960,0,1967,0,98032,47.3576,-122.277,1750,15616,247500.0
1099611230,735488,4,1.5,1160,6400,7,1160,0,1975,0,98023,47.3036,-122.378,1160,6400,199000.0
722079104,735425,3,1.75,1810,41800,7,1210,600,1980,0,98038,47.4109,-121.958,1650,135036,314000.0
7338200240,735369,3,2.5,2320,36847,9,2320,0,1992,0,98045,47.4838,-121.714,2550,35065,437500.0
1952200240,735395,3,2.5,2070,13241,9,1270,800,1910,0,98102,47.6415,-122.315,2200,4500,850830.0
5200100125,735533,3,2.0,1980,3478,7,1440,540,1929,0,98117,47.6775,-122.372,1610,3478,555000.0
7214720075,735579,3,2.25,2190,107593,8,2190,0,1983,0,98077,47.7731,-122.08,2570,47777,699950.0
